lookup_key,company_name,activities,expiry_date,status,source
ALLIED UNIVERSAL (EUROPE) LIMITED T/A ALLIED UNIVERSAL SECURITY SERVICES,Allied Universal (Europe) Limited t/a Allied Universal Security Services,"DS, SG",30-Apr-29,approved,sia_acs_register_html
ALPHA OMEGA SECURITIES LIMITED,Alpha Omega Securities Limited,"DS, KH, SG",31-Mar-27,approved,sia_acs_register_html
ALPHA SECURITY SOLUTIONS LTD,Alpha Security Solutions Ltd,SG,31-Oct-28,approved,sia_acs_register_html
PINNACLE WORKPLACE LIMITED,Pinnacle Workplace Limited,"SG, CCTV",30-Sep-28,approved,sia_acs_register_html
ASEL INTEGRATED SECURITY SOLUTIONS LTD,ASEL Integrated Security Solutions LTD,SG,28-Feb-27,approved,sia_acs_register_html
AMULET (CHURCHILL SECURITY SOLUTIONS) LIMITED TRADING AS AMULET,Amulet (Churchill Security Solutions) Limited trading as Amulet,"CCTV, KH, SG, DS",31-Mar-27,approved,sia_acs_register_html
ANABAS (UK2) LIMITED,Anabas (UK2) Limited,SG,28-Feb-29,approved,sia_acs_register_html
ANCHOR SECURITY SERVICES LIMITED,Anchor Security Services Limited,"CCTV, KH, SG",31-Mar-27,approved,sia_acs_register_html
ANDRON CONTRACT SERVICES LIMITED (TRADING AS ANDRON FACILITIES MANAGEMENT),Andron Contract Services Limited (trading as Andron Facilities Management),"CCTV, SG",30-Nov-27,approved,sia_acs_register_html
ANGEL SECURITY LTD,Angel Security Ltd,SG,31-Aug-28,approved,sia_acs_register_html
TREVION LTD,Trevion Ltd,SG,31-Jul-26,approved,sia_acs_register_html
ANUBIS GROUP FM LTD,Anubis Group FM Ltd,"SG, DS",30-Jun-29,approved,sia_acs_register_html
APARDION LIMITED,Apardion Limited,"KH, SG",30-Apr-27,approved,sia_acs_register_html
APCOA PARKING (UK) LIMITED,APCOA Parking (UK) Limited,"SG, CCTV, KH",31-Jul-29,approved,sia_acs_register_html
APLEONA HSG LIMITED,Apleona HSG Limited,"CCTV, DS, SG",30-Apr-27,approved,sia_acs_register_html
ARC MONITORING LIMITED,Arc Monitoring Limited,CCTV,31-Dec-27,approved,sia_acs_register_html
ARDOUS FACILITIES LIMITED,Ardous Facilities Limited,SG,30/4/2029,approved,sia_acs_register_html
ARENA SECURITY LIMITED,Arena Security Limited,"KH, SG",31-Aug-27,approved,sia_acs_register_html
ARION SECURITY (UK) LTD,Arion Security (UK) Ltd,"SG, KH",31-Aug-27,approved,sia_acs_register_html
ARMOUR SECURITY DEPLOYMENT LIMITED,Armour Security Deployment Limited,"SG, KH",31-Mar-28,approved,sia_acs_register_html
ARMOUR SECURITY GROUP (UK) LTD,Armour Security Group (UK) Ltd,SG,31-Dec-26,approved,sia_acs_register_html
ASCOT SERVICES UK LIMITED,Ascot Services UK Limited,SG,31-May-28,approved,sia_acs_register_html
ASHRIDGE GROUP LTD,Ashridge Group Ltd,SG,30-Apr-28,approved,sia_acs_register_html
SECURIWISE LIMITED,Securiwise Limited,SG,30-Sep-26,approved,sia_acs_register_html
ASKARI SECURITY UK LTD,Askari Security UK Ltd,"KH, SG",31-Jul-28,approved,sia_acs_register_html
ASSETWATCH LTD,Assetwatch Ltd,"SG, KH, CCTV",30-Nov-28,approved,sia_acs_register_html
ASSIST SECURITY LIMITED,Assist Security Limited,"SG, DS, CCTV, KH",30-Apr-27,approved,sia_acs_register_html
ASSURE SECURITY (WM) LTD,Assure Security (WM) Ltd,"KH, SG",30-Nov-27,approved,sia_acs_register_html
ATLAS FACILITIES MANAGEMENT LIMITED,Atlas Facilities Management Limited,"SG, KH",31-May-27,approved,sia_acs_register_html
ATRIUM FM LIMITED,Atrium FM Limited,"KH, SG",31-Jul-29,approved,sia_acs_register_html
AURA UK SERVICES LIMITED,Aura UK Services Limited,SG. KH,31-Jan-28,approved,sia_acs_register_html
AUXILIUM SERVICES LTD,Auxilium Services Ltd,"SG, KH",30-Apr-28,approved,sia_acs_register_html
AVANTGUARD SECURITY LIMITED,Avantguard Security Limited,"SG, KH",31-Aug-26,approved,sia_acs_register_html
AVONDALE CONSTRUCTION LIMITED,Avondale Construction Limited,SG,31-Aug-28,approved,sia_acs_register_html
BANHAM PATENT LOCKS LIMITED T/A BANHAM SECURITY,Banham Patent Locks Limited t/a Banham Security,KH,31-Dec-28,approved,sia_acs_register_html
BARDWOOD SUPPORT SERVICES LIMITED,BardWood Support Services Limited,SG,31-Jul-28,approved,sia_acs_register_html
BARRIER WING GROUP LTD,Barrier Wing Group Ltd,SG,30-Mar-27,approved,sia_acs_register_html
BCM SECURITY ASSOCIATES LTD,BCM Security Associates Ltd,KH,31-May-29,approved,sia_acs_register_html
BDI SECURITIES UK LIMITED,BDI Securities UK Limited,CViT,31-Oct-25,approved,sia_acs_register_html
BEACON FACILITIES MANAGEMENT LIMITED,Beacon Facilities Management Limited,"SG, KH",31-Mar-29,approved,sia_acs_register_html
BELSTONE MANAGEMENT SERVICES LIMITED,Belstone Management Services Limited,SG,30-Sep-28,approved,sia_acs_register_html
BENCHMARK SECURITY GROUP,Benchmark Security Group,SG,30-Apr-27,approved,sia_acs_register_html
BESPOKE FACILITIES MANAGEMENT LTD,Bespoke Facilities Management Ltd,"SG, CCTV, KH",31-May-29,approved,sia_acs_register_html
BGN SECURITY SERVICES LIMITED,BGN Security Services Limited,SG,31-Jan-27,approved,sia_acs_register_html
BHPSS LTD,BHPSS Ltd,"SG, KH",29/2/2029,approved,sia_acs_register_html
BIDVEST NOONAN (UK) LIMITED T/A BIDVEST NOONAN,Bidvest Noonan (UK) Limited t/a Bidvest Noonan,"SG, KH, CCTV, DS, VI",31-Dec-28,approved,sia_acs_register_html
BLACK AND WHITE KEY SECURITY LIMITED,Black and White Key Security Limited,"KH, SG",31-Mar-29,approved,sia_acs_register_html
BLACK DIAMOND SECURITY LIMITED,Black Diamond Security Limited,"SG, KH",30-Sep-26,approved,sia_acs_register_html
BLACK ONYX CONCEPTS LTD,Black Onyx Concepts Ltd,SG,30-Sep-27,approved,sia_acs_register_html
BLACKSTAR GROUP SOLUTIONS T/A BLACKSTAR SECURITY,Blackstar Group Solutions t/a Blackstar Security,"DS, SG",28-Feb-27,approved,sia_acs_register_html
BLAYDE SECURITY LIMITED,Blayde Security Limited,"SG, DS, KH",31-Oct-27,approved,sia_acs_register_html
BLUE 9 SECURITY LIMITED,Blue 9 Security Limited,"SG, KH",31-Aug-28,approved,sia_acs_register_html
BLUE LIGHT SECURITY SOLUTIONS LTD,Blue Light Security Solutions Ltd,"SG, KH",31-May-29,approved,sia_acs_register_html
INITIAL SECURITY LTD,Initial Security Ltd,"SG, KH",31-Dec-26,approved,sia_acs_register_html
BLUESTONE SECURITY SERVICES LIMITED,Bluestone Security Services Limited,"SG, KH",31-Dec-26,approved,sia_acs_register_html
BMS CORPORATE LIMITED,BMS Corporate Limited,SG,31-Jul-29,approved,sia_acs_register_html
BOLD SECURITY GROUP (UK) LIMITED,Bold Security Group (UK) Limited,SG,31-Mar-29,approved,sia_acs_register_html
BOROUGH COUNCIL OF KINGS LYNN & WEST NORFOLK,Borough Council of Kings Lynn & West Norfolk,"CViT, CCTV",31-Aug-29,approved,sia_acs_register_html
BRIDGEGATE SECURITY (UK) LTD,Bridgegate Security (UK) Ltd,DS,30-Apr-29,approved,sia_acs_register_html
BRIDGE FACILITIES SERVICES LTD,Bridge Facilities Services Ltd,SG,31-Dec-28,approved,sia_acs_register_html
BRIDGEWATER SECURITY LIMITED,Bridgewater Security Limited,"SG,KH",31-May-27,approved,sia_acs_register_html
BRINKS LIMITED,Brinks Limited,"CViT, SG",31-May-27,approved,sia_acs_register_html
BRISTOL SECURITY AND PROPERTY MANAGEMENT LIMITED,Bristol Security and Property Management Limited,"KH, SG",31-Aug-27,approved,sia_acs_register_html
BRISTOL WASTE COMPANY LTD,Bristol Waste Company Ltd,"SG, KH, CViT",31-Aug-29,approved,sia_acs_register_html
BRIT SERVICES GROUP LIMITED,Brit Services Group Limited,SG,30-Jun-27,approved,sia_acs_register_html
BRITES ASSOCIATES LIMITED (TRADING AS BRITES SECURITY SOLUTIONS),Brites Associates Limited (trading as Brites Security Solutions),SG,30-Jun-29,approved,sia_acs_register_html
BRITPLAN SECURITY SOLUTIONS LIMITED,Britplan Security Solutions Limited,SG,31-Dec-26,approved,sia_acs_register_html
BRITSAFE LIMITED,Britsafe Limited,"KH, SG",31-Mar-27,approved,sia_acs_register_html
BROADLAND GUARDING SERVICES LIMITED,Broadland Guarding Services Limited,"CCTV, KH, SG",31-Mar-27,approved,sia_acs_register_html
BROOKNIGHT SECURITY LIMITED (TRADING AS BROOKNIGHT SECURITY),Brooknight Security Limited (trading as Brooknight Security),"KH, SG",30-Jun-27,approved,sia_acs_register_html
BUSINESS WATCH GUARDING LIMITED,Business Watch Guarding Limited,"KH, SG",30-Jun-28,approved,sia_acs_register_html
C.T GUARDS UK LIMITED,C.T GUARDS UK LIMITED,SG,31-Dec-26,approved,sia_acs_register_html
CAM FACILITIES LIMITED,Cam Facilities Limited,KH,30-Apr-29,approved,sia_acs_register_html
CAPRICORN MEDIA PROTECTION LTD,Capricorn Media Protection Ltd,"DS, SG, KH, CP",31-Mar-27,approved,sia_acs_register_html
CAR PARK SERVICES LIMITED,Car Park Services Limited,VI,30-Sep-27,approved,sia_acs_register_html
CARELINE SECURITY LTD T/A CARELINE RESPONSE,Careline Security Ltd t/a Careline Response,"SG, KH",30-Nov-28,approved,sia_acs_register_html
CARLISLE SECURITY SERVICES LIMITED,Carlisle Security Services Limited,"CCTV, SG, DS, KH",30-Apr-27,approved,sia_acs_register_html
CASTLEGATE SECURITY SERVICES LIMITED,Castlegate Security Services Limited,"SG, KH",31-Mar-29,approved,sia_acs_register_html
CAVA SECURITY SERVICES LIMITED,Cava Security Services Limited,"SG, KH",31-Oct-26,approved,sia_acs_register_html
CBS SECURITY & REMOTE MONITORING LIMITED,CBS Security & Remote Monitoring Limited,"SG, KH",30-Apr-28,approved,sia_acs_register_html
CENTRE CIRCLE EVENT MANAGEMENT LIMITED,Centre Circle Event Management Limited,"SG, DS",30-Jun-28,approved,sia_acs_register_html
CLEARWAY TECHNOLOGY LIMITED,Clearway Technology Limited,"SG, KH, CCTV",30-Jun-29,approved,sia_acs_register_html
CHAMBERLAINS SECURITY (CARDIFF) LIMITED,Chamberlains Security (Cardiff) Limited,"SG, KH",31-Oct-26,approved,sia_acs_register_html
CHASE SERVICES GROUP LTD,Chase Services Group Ltd,"SG, KH",31-Mar-28,approved,sia_acs_register_html
CHATTELS SECURITY & SERVICES LTD,Chattels Security & Services Ltd,"SG, KH",31-May-29,approved,sia_acs_register_html
PROFM GROUP LIMITED,ProFM Group Limited,SGKH,31-Mar-27,approved,sia_acs_register_html
CIO SECURITY LTD,CIO Security Ltd,SG,31-Oct-26,approved,sia_acs_register_html
CIRCA SECURITY LIMITED,Circa Security Limited,SG,31-May-28,approved,sia_acs_register_html
CIRCLE UK GROUP LTD,Circle UK Group Ltd,SG,31-Mar-29,approved,sia_acs_register_html
CIS SECURITY LIMITED,CIS Security Limited,"CCTV, DS, KH, SG",31-May-27,approved,sia_acs_register_html
CITIGUARD SECURITY (UK) LTD,Citiguard Security (UK) Ltd,"SG, KH",31-Aug-26,approved,sia_acs_register_html
CITY GROUP SECURITY LIMITED,City Group Security Limited,"KH, SG",31-Mar-27,approved,sia_acs_register_html
CLASSIC SERVICES GROUP LIMITED,Classic Services Group Limited,"KH, SG",31-Oct-27,approved,sia_acs_register_html
CLEAR WATCH SECURITY LIMITED,Clear Watch Security Limited,"SG, KH",31-Aug-27,approved,sia_acs_register_html
CLEARVIEW SECURITY LTD,Clearview Security Ltd,"SG, KH, CCTV",31-Jan-29,approved,sia_acs_register_html
CLIPFINE SECURITY LIMITED,Clipfine Security Limited,SG,30-Nov-27,approved,sia_acs_register_html
COAST 2 COAST SECURITY LIMITED,Coast 2 Coast Security Limited,SG,30-Jun-27,approved,sia_acs_register_html
COBAC SECURITY LTD,Cobac Security Ltd,SG,30-Nov-27,approved,sia_acs_register_html
COBRA SPECIALIST SECURITY SERVICES LIMITED (TRADING AS COBRA FM SERVICES),Cobra Specialist Security Services Limited (trading as Cobra FM Services),"SG, KH, CCTV",31-Mar-28,approved,sia_acs_register_html
COLE SECURITY SERVICES LIMITED,Cole Security Services Limited,"KH, SG",30-Nov-28,approved,sia_acs_register_html
COMHARRA SOLUTIONS LTD,Comharra Solutions Ltd,KH,31-Mar-27,approved,sia_acs_register_html
COMPACT SECURITY SERVICES LIMITED,Compact Security Services Limited,"DS, SG, CP, CCTV",31-May-27,approved,sia_acs_register_html
COMPASS GROUP UK AND IRELAND LIMITED,Compass Group UK and Ireland Limited,SG,31-Mar-27,approved,sia_acs_register_html
COMPREHENSIVE SECURITY SERVICES LIMITED,Comprehensive Security Services Limited,"SG, KH",31-Jul-28,approved,sia_acs_register_html
COMPREHENSIVE SERVICES LTD,Comprehensive Services Ltd,SG,31-Dec-26,approved,sia_acs_register_html
CONSORTIO SECURITY LIMITED,Consortio Security Limited,"SG,KH",31-Jan-27,approved,sia_acs_register_html
CONSTANT SECURITY SERVICES LIMITED,Constant Security Services Limited,"CCTV, DS, KH, SG",31-Mar-27,approved,sia_acs_register_html
CONTROLLED SOLUTIONS GROUP LIMITED,Controlled Solutions Group Limited,"SG, DS, CCTV",31-Aug-28,approved,sia_acs_register_html
CONTROLLED SPACE LIMITED,Controlled Space Limited,"SG, DS, CP, CCTV, KH",31-Mar-27,approved,sia_acs_register_html
COPELAND FACILITIES MANAGEMENT LTD T/A COPELAND GROUP SERVICES,Copeland Facilities Management Ltd t/a Copeland Group Services,"KH, DS",30-Jun-29,approved,sia_acs_register_html
CORPORATE FACILITIES SERVICES LIMITED,Corporate Facilities Services Limited,"CCTV, SG",30-Jun-29,approved,sia_acs_register_html
CORPORATE SERVICES GROUP LTD,Corporate Services Group Ltd,SG,31-Jul-27,approved,sia_acs_register_html
CORPS 7 LTD,Corps 7 Ltd,"SG, KH",31-Aug-28,approved,sia_acs_register_html
CORPS SECURITY (UK) LTD,Corps Security (UK) Ltd,"CCTV, KH, SG, DS",31-Mar-27,approved,sia_acs_register_html
CORVUS SECURITY LIMITED,Corvus Security Limited,"CP, DS, SG, KH",30-Jun-28,approved,sia_acs_register_html
COTSWOLD SECURITY GROUP LTD,Cotswold Security Group Ltd,"SG,KH",31-Mar-29,approved,sia_acs_register_html
COUGAR MONITORING T/A K-SOC,Cougar Monitoring T/A K-SOC,CCTV,30-Sep-28,approved,sia_acs_register_html
COUNTY ENFORCEMENT LIMITED T/A COUNTY SECURITY,County Enforcement Limited t/a County Security,SG,31-May-27,approved,sia_acs_register_html
COUNTY GUARDS LIMITED,County Guards Limited,SG,30-Sep-27,approved,sia_acs_register_html
COVERT PROTECTION LTD,Covert Protection Ltd,DS,30-Jun-27,approved,sia_acs_register_html
CP PLUS LIMITED (TRADING AS GROUPNEXUS),CP Plus Limited (trading as GroupNexus),"SG, CCTV",31-Dec-27,approved,sia_acs_register_html
CR2 SECURITY GROUP LIMITED,CR2 Security Group Limited,DS,31-Oct-27,approved,sia_acs_register_html
CRE8 SECURITY LIMITED,Cre8 Security Limited,"DS, SG",30-Apr-28,approved,sia_acs_register_html
CRESTA SECURITY LIMITED,Cresta Security Limited,SG,30-Jul-29,approved,sia_acs_register_html
CROWDSAFE SOLUTIONS UK LTD,Crowdsafe Solutions UK Ltd,"SG, DS",31-Jan-27,approved,sia_acs_register_html
CROWN SECURITY SERVICES LTD,Crown Security Services Ltd,"KH, SG",31-Mar-27,approved,sia_acs_register_html
CROWN SECURITY SOLUTIONS LIMITED,Crown Security Solutions Limited,SG,31-Oct-28,approved,sia_acs_register_html
CRYSTAL FACILITIES MANAGEMENT LTD,Crystal Facilities Management Ltd,SG,31-May-29,approved,sia_acs_register_html
CSM SECURITY CONSULTANTS LTD,CSM Security Consultants Ltd,"SG, KH, DS, CP",31-May-29,approved,sia_acs_register_html
CSTM SERVICES LTD,CSTM Services Ltd,SG,31-Aug-27,approved,sia_acs_register_html
CUSTODIAN GUARDING COMPANY LIMITED,Custodian Guarding Company Limited,SG,31-Jan-29,approved,sia_acs_register_html
CUTLASS GROUP LIMITED,Cutlass Group Limited,SG,30-Jun-28,approved,sia_acs_register_html
CYS SECURITY LIMITED,CYS Security Limited,"SG, KH",31-Oct-27,approved,sia_acs_register_html
DANHOUSE SECURITY LIMITED,Danhouse Security Limited,SG,31-Mar-27,approved,sia_acs_register_html
DARKSTRO GUARDS LTD,Darkstro Guards Ltd,DS,31-Jan-29,approved,sia_acs_register_html
DCL SECURITY INTERNATIONAL LIMITED,DCL Security International Limited,"KH, SG",31-Jul-26,approved,sia_acs_register_html
DEFENCE SECURITY SOLUTIONS COMPANY LIMITED,Defence Security Solutions Company Limited,"DS,SG",31-Oct-28,approved,sia_acs_register_html
DELFI SERVICES LTD,Delfi Services Ltd,SG,28-Feb-27,approved,sia_acs_register_html
DELTA FORCE GROUP LTD,Delta Force Group Ltd,"SG, KH",31-Jan-29,approved,sia_acs_register_html
DELTA ONE SECURITY SERVICES LTD,Delta One Security Services Ltd,"KH, SG",28-Feb-27,approved,sia_acs_register_html
DETERTECH UK LIMITED T/A DETERTECH,DeterTech UK Limited t/a DeterTech,SG,31-May-27,approved,sia_acs_register_html
DEXTER MULTISERVICES LTD,Dexter Multiservices Ltd,SG,30-Apr-28,approved,sia_acs_register_html
DGP PLC,DGP PLC,"SG, KH",31-Oct-27,approved,sia_acs_register_html
DGS SERVICE SOLUTIONS LIMITED,DGS Service Solutions Limited,"SG, KH, CCTV",31-Oct-28,approved,sia_acs_register_html
DILIGENT BUSINESS SERVICES LIMITED,Diligent Business Services Limited,SG,30-Nov-27,approved,sia_acs_register_html
DIAMA SECURITY LIMITED,Diama Security Limited,SG,31-Jan-29,approved,sia_acs_register_html
DIMA GROUP LTD,DIMA Group Ltd,"DS, SG, KH",31-Jul-27,approved,sia_acs_register_html
DIPLOMATS SECURITY CONTRACT LIMITED,Diplomats Security Contract Limited,SG,28-Feb-29,approved,sia_acs_register_html
DIRECT DEFENCE SOLUTIONS LIMITED,Direct Defence Solutions Limited,SG,31-Oct-28,approved,sia_acs_register_html
DMF GROUP SERVICES LTD,DMF Group Services Ltd,SG,31-Oct-27,approved,sia_acs_register_html
DOUBLE CHECK SECURITY GROUP LTD T/A T-CLASS UK,Double Check Security Group Ltd t/a T-Class UK,"SG, DS",30-Nov-27,approved,sia_acs_register_html
DOYLE SECURITY LTD,Doyle Security Ltd,"SG, KH, CCTV",31-Jul-27,approved,sia_acs_register_html
DYNAMIC SECURITY LIMITED,Dynamic Security Limited,SG,31-Dec-28,approved,sia_acs_register_html
DYNAMIC SECURITY SERVICES UK LTD,Dynamic Security Services UK Ltd,"SG, KH",31-Oct-28,approved,sia_acs_register_html
DYNAMIC SECURITY SOLUTIONS LTD,Dynamic Security Solutions Ltd,"SG, KH",30-Sep-26,approved,sia_acs_register_html
E.M.S. (SECURITY SERVICES) LIMITED,E.M.S. (Security Services) Limited,"SG, KH",31-Jan-27,approved,sia_acs_register_html
EAGLE SECURITY PROTECTION LTD,Eagle Security Protection Ltd,"SG, KH",31-Oct-27,approved,sia_acs_register_html
EAGLES SECURITY SERVICES LIMITED,Eagles Security Services Limited,SG,31-Jan-27,approved,sia_acs_register_html
EBORACUM UK LTD,Eboracum UK Ltd,"SG, KH",31-Aug-28,approved,sia_acs_register_html
EFFECTIVE SECURITY SERVICES LIMITED (TRADING AS PROFESSIONAL SECURITY),Effective Security Services Limited (trading as Professional Security),"DS, SG, CP",31-Aug-26,approved,sia_acs_register_html
EGS SUPPORT SERVICES LIMITED,EGS Support Services Limited,SG,31-Oct-28,approved,sia_acs_register_html
ELITE GUARDING (UK) LTD T/A TROJAN SECURITY,Elite Guarding (UK) Ltd t/a Trojan Security,SG,30-Nov-27,approved,sia_acs_register_html
ELITE SECURITY,Elite Security,DS,31-Oct-26,approved,sia_acs_register_html
ELITE ALARM MONITORING SERVICES LIMITED,Elite Alarm Monitoring Services Limited,"SG, KH",30-Jun-27,approved,sia_acs_register_html
ELITE SECURITY MANNED GUARDING LIMITED,Elite Security Manned Guarding Limited,"SG, CCTV",30-Jun-27,approved,sia_acs_register_html
ELIZABETHAN SECURITY LIMITED,Elizabethan Security Limited,"SG, KH",31-Jul-28,approved,sia_acs_register_html
OCS FM LIMITED,OCS FM Limited,"SG, CCTV",28-Feb-29,approved,sia_acs_register_html
ENIGMA CCTV LIMITED,Enigma CCTV Limited,CCTV,31-Jul-29,approved,sia_acs_register_html
ENIGMA SECURITY SOLUTIONS LIMITED,Enigma Security Solutions Limited,"SG, KH, CCTV",31-Mar-27,approved,sia_acs_register_html
ENVISION INTELLIGENT SOLUTIONS LIMITED,Envision Intelligent Solutions Limited,"SG, CCTV",30-Jun-27,approved,sia_acs_register_html
EQUANS E&S SOLUTIONS LIMITED,Equans E&S Solutions Limited,"CCTV, SG",31-Dec-27,approved,sia_acs_register_html
EQUANS SERVICES LIMITED,EQUANS SERVICES LIMITED,"SG, CCTV",30-Nov-27,approved,sia_acs_register_html
