invoice_ref,vendor_id,vendor_name,score_month,line_count,labour_day_rate,organization_id
INV-BRIGHT-ELEC-202606-01,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-06-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202606-02,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-06-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202606-01,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-06-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202606-02,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-06-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202607-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-07-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-APEX-MECH-202607-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2026-07-01,10,380.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202607-01,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-07-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-BRIGHT-ELEC-202607-02,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,2026-07-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202607-01,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-07-01,10,350.0,00000000-0000-0000-0000-0000000000b1
INV-SAFELIFT-202607-02,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,2026-07-01,10,350.0,00000000-0000-0000-0000-0000000000b1
