ppm_ref,vendor_id,vendor_name,asset_id,asset_code,frequency,scheduled_date,completed_date,tolerance_days,status,wo_code,organization_id
PPM-APEX-MECH-202604-AHU-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2254deb1-ceda-5fdc-8662-5e88a82a385f,AHU-01,monthly,2026-04-03,2026-04-08,7,completed,WO-PPM-APEX-2604-AHU-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202604-AHU-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,9082654d-d28b-5d44-8b6e-44a75f9f53ca,AHU-02,monthly,2026-04-08,2026-04-06,7,completed,WO-PPM-APEX-2604-AHU-02,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202604-CHILLER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,4e25ee9b-426a-5909-8968-db80ba6ee435,CHILLER-01,monthly,2026-04-13,2026-04-15,7,completed,WO-PPM-APEX-2604-CHILLER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202604-BOILER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,86e56c75-769b-5c12-ade3-52ebb40657dc,BOILER-01,monthly,2026-04-18,2026-04-17,7,completed,WO-PPM-APEX-2604-BOILER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202604-PUMP-HW-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,PUMP-HW-01,monthly,2026-04-23,2026-04-28,7,completed,WO-PPM-APEX-2604-PUMP-HW-01,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202604-DB-MAIN,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,50e801c0-1ad5-504f-95d7-d8e74b34b567,DB-MAIN,monthly,2026-04-03,2026-04-15,7,completed,WO-PPM-BRIG-2604-DB-MAIN,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202604-DB-FLOOR3,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,79ece533-a40c-5da9-b9b8-90ff4936aa1d,DB-FLOOR3,monthly,2026-04-08,2026-04-18,7,completed,WO-PPM-BRIG-2604-DB-FLOOR3,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202604-UPS-IT,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,ae943b54-af87-5938-a8be-684dfa2dd4ab,UPS-IT,monthly,2026-04-13,2026-04-23,7,completed,WO-PPM-BRIG-2604-UPS-IT,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202604-LIFT-A,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,57552a38-528d-582d-8d05-fb00e5254bf0,LIFT-A,monthly,2026-04-03,2026-04-17,7,completed,WO-PPM-SAFE-2604-LIFT-A,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202604-LIFT-B,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,6e9bab87-0df8-5148-9385-2c8f65780111,LIFT-B,monthly,2026-04-08,,7,missed,,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202605-AHU-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2254deb1-ceda-5fdc-8662-5e88a82a385f,AHU-01,monthly,2026-05-03,2026-05-03,7,completed,WO-PPM-APEX-2605-AHU-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202605-AHU-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,9082654d-d28b-5d44-8b6e-44a75f9f53ca,AHU-02,monthly,2026-05-08,2026-05-06,7,completed,WO-PPM-APEX-2605-AHU-02,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202605-CHILLER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,4e25ee9b-426a-5909-8968-db80ba6ee435,CHILLER-01,monthly,2026-05-13,2026-05-14,7,completed,WO-PPM-APEX-2605-CHILLER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202605-BOILER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,86e56c75-769b-5c12-ade3-52ebb40657dc,BOILER-01,monthly,2026-05-18,2026-05-18,7,completed,WO-PPM-APEX-2605-BOILER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202605-PUMP-HW-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,PUMP-HW-01,monthly,2026-05-23,2026-05-28,7,completed,WO-PPM-APEX-2605-PUMP-HW-01,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202605-DB-MAIN,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,50e801c0-1ad5-504f-95d7-d8e74b34b567,DB-MAIN,monthly,2026-05-03,2026-05-03,7,completed,WO-PPM-BRIG-2605-DB-MAIN,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202605-DB-FLOOR3,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,79ece533-a40c-5da9-b9b8-90ff4936aa1d,DB-FLOOR3,monthly,2026-05-08,2026-05-18,7,completed,WO-PPM-BRIG-2605-DB-FLOOR3,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202605-UPS-IT,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,ae943b54-af87-5938-a8be-684dfa2dd4ab,UPS-IT,monthly,2026-05-13,2026-05-15,7,completed,WO-PPM-BRIG-2605-UPS-IT,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202605-LIFT-A,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,57552a38-528d-582d-8d05-fb00e5254bf0,LIFT-A,monthly,2026-05-03,,7,missed,,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202605-LIFT-B,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,6e9bab87-0df8-5148-9385-2c8f65780111,LIFT-B,monthly,2026-05-08,2026-05-18,7,completed,WO-PPM-SAFE-2605-LIFT-B,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202606-AHU-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2254deb1-ceda-5fdc-8662-5e88a82a385f,AHU-01,monthly,2026-06-03,2026-06-03,7,completed,WO-PPM-APEX-2606-AHU-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202606-AHU-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,9082654d-d28b-5d44-8b6e-44a75f9f53ca,AHU-02,monthly,2026-06-08,2026-06-11,7,completed,WO-PPM-APEX-2606-AHU-02,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202606-CHILLER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,4e25ee9b-426a-5909-8968-db80ba6ee435,CHILLER-01,monthly,2026-06-13,2026-06-11,7,completed,WO-PPM-APEX-2606-CHILLER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202606-BOILER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,86e56c75-769b-5c12-ade3-52ebb40657dc,BOILER-01,monthly,2026-06-18,2026-06-21,7,completed,WO-PPM-APEX-2606-BOILER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202606-PUMP-HW-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,PUMP-HW-01,monthly,2026-06-23,2026-06-28,7,completed,WO-PPM-APEX-2606-PUMP-HW-01,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202606-DB-MAIN,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,50e801c0-1ad5-504f-95d7-d8e74b34b567,DB-MAIN,monthly,2026-06-03,2026-06-13,7,completed,WO-PPM-BRIG-2606-DB-MAIN,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202606-DB-FLOOR3,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,79ece533-a40c-5da9-b9b8-90ff4936aa1d,DB-FLOOR3,monthly,2026-06-08,2026-06-10,7,completed,WO-PPM-BRIG-2606-DB-FLOOR3,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202606-UPS-IT,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,ae943b54-af87-5938-a8be-684dfa2dd4ab,UPS-IT,monthly,2026-06-13,2026-06-25,7,completed,WO-PPM-BRIG-2606-UPS-IT,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202606-LIFT-A,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,57552a38-528d-582d-8d05-fb00e5254bf0,LIFT-A,monthly,2026-06-03,2026-06-19,7,completed,WO-PPM-SAFE-2606-LIFT-A,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202606-LIFT-B,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,6e9bab87-0df8-5148-9385-2c8f65780111,LIFT-B,monthly,2026-06-08,2026-06-18,7,completed,WO-PPM-SAFE-2606-LIFT-B,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202607-AHU-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,2254deb1-ceda-5fdc-8662-5e88a82a385f,AHU-01,monthly,2026-07-03,2026-07-06,7,completed,WO-PPM-APEX-2607-AHU-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202607-AHU-02,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,9082654d-d28b-5d44-8b6e-44a75f9f53ca,AHU-02,monthly,2026-07-08,2026-07-11,7,completed,WO-PPM-APEX-2607-AHU-02,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202607-CHILLER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,4e25ee9b-426a-5909-8968-db80ba6ee435,CHILLER-01,monthly,2026-07-13,2026-07-12,7,completed,WO-PPM-APEX-2607-CHILLER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202607-BOILER-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,86e56c75-769b-5c12-ade3-52ebb40657dc,BOILER-01,monthly,2026-07-18,2026-07-21,7,completed,WO-PPM-APEX-2607-BOILER-01,00000000-0000-0000-0000-0000000000b1
PPM-APEX-MECH-202607-PUMP-HW-01,00000000-0000-0000-0000-0000000000a1,Apex Mechanical Services Ltd,c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,PUMP-HW-01,monthly,2026-07-23,2026-07-22,7,completed,WO-PPM-APEX-2607-PUMP-HW-01,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202607-DB-MAIN,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,50e801c0-1ad5-504f-95d7-d8e74b34b567,DB-MAIN,monthly,2026-07-03,2026-06-30,7,completed,WO-PPM-BRIG-2607-DB-MAIN,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202607-DB-FLOOR3,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,79ece533-a40c-5da9-b9b8-90ff4936aa1d,DB-FLOOR3,monthly,2026-07-08,2026-07-20,7,completed,WO-PPM-BRIG-2607-DB-FLOOR3,00000000-0000-0000-0000-0000000000b1
PPM-BRIGHT-ELEC-202607-UPS-IT,00000000-0000-0000-0000-0000000000a2,BrightSpark Electrical Ltd,ae943b54-af87-5938-a8be-684dfa2dd4ab,UPS-IT,monthly,2026-07-13,2026-07-18,7,completed,WO-PPM-BRIG-2607-UPS-IT,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202607-LIFT-A,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,57552a38-528d-582d-8d05-fb00e5254bf0,LIFT-A,monthly,2026-07-03,2026-07-03,7,completed,WO-PPM-SAFE-2607-LIFT-A,00000000-0000-0000-0000-0000000000b1
PPM-SAFELIFT-202607-LIFT-B,00000000-0000-0000-0000-0000000000a3,SafeLift Engineering Ltd,6e9bab87-0df8-5148-9385-2c8f65780111,LIFT-B,monthly,2026-07-08,2026-07-16,7,completed,WO-PPM-SAFE-2607-LIFT-B,00000000-0000-0000-0000-0000000000b1
