wo_code,vendor_name,score_month,wo_type,priority,asset_code,asset_id,reported_at,attended_at,completed_at,first_fix,recall,recall_of_wo_code,cost_estimated,cost_actual,attendance_hours,part_code,parts_cost
WO-APEX-2602-1014,Apex Mechanical Services Ltd,2026-02-01,Reactive,P2,FCU-302,df5a27e5-a1b5-5620-b88c-e1fb6174c980,2026-02-14T10:00:00+00:00,2026-02-14T13:21:05.637190+00:00,2026-02-15T01:59:32.906524+00:00,True,False,,861.73,1139.61,12.64,BELT-A42,35.94
WO-APEX-2602-1015,Apex Mechanical Services Ltd,2026-02-01,Reactive,P3,AHU-01,2254deb1-ceda-5fdc-8662-5e88a82a385f,2026-02-15T11:00:00+00:00,2026-02-16T03:18:22.509877+00:00,2026-02-17T17:27:58.186877+00:00,True,False,,448.86,443.63,38.16,CONTACTOR-25A,21.28
WO-APEX-2602-1016,Apex Mechanical Services Ltd,2026-02-01,Reactive,P4,AHU-02,9082654d-d28b-5d44-8b6e-44a75f9f53ca,2026-02-16T12:00:00+00:00,2026-02-20T16:48:00+00:00,2026-02-21T08:37:44.290598+00:00,False,True,WO-APEX-2602-1009,689.65,826.34,15.83,FILTER-HEPA-20,56.16
WO-APEX-2602-1017,Apex Mechanical Services Ltd,2026-02-01,Reactive,P1,CHILLER-01,4e25ee9b-426a-5909-8968-db80ba6ee435,2026-02-17T13:00:00+00:00,2026-02-17T13:34:01.120708+00:00,2026-02-17T15:40:42.484306+00:00,False,False,,594.87,591.01,2.11,FILTER-HEPA-20,17.95
WO-APEX-2602-1018,Apex Mechanical Services Ltd,2026-02-01,Reactive,P2,BOILER-01,86e56c75-769b-5c12-ade3-52ebb40657dc,2026-02-18T14:00:00+00:00,2026-02-18T16:06:15.930026+00:00,2026-02-19T09:57:57.747530+00:00,False,True,WO-APEX-2602-1011,650.49,581.89,17.86,FILTER-HEPA-20,42.08
WO-APEX-2602-1019,Apex Mechanical Services Ltd,2026-02-01,Reactive,P3,PUMP-HW-01,c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,2026-02-19T15:00:00+00:00,2026-02-20T04:07:18.115793+00:00,2026-02-21T10:59:15.860523+00:00,True,False,,844.75,918.01,30.87,BREAKER-32A,32.53
WO-APEX-2602-1020,Apex Mechanical Services Ltd,2026-02-01,Reactive,P4,FCU-301,00cca8c0-d38f-5cf7-bcd4-22497ed31c44,2026-02-20T16:00:00+00:00,2026-02-23T03:58:20.106439+00:00,2026-02-26T17:00:53.375662+00:00,True,False,,529.66,517.08,85.04,FILTER-HEPA-20,46.05
WO-APEX-2602-1021,Apex Mechanical Services Ltd,2026-02-01,Reactive,P1,FCU-302,df5a27e5-a1b5-5620-b88c-e1fb6174c980,2026-02-21T07:00:00+00:00,2026-02-21T07:43:52.459792+00:00,2026-02-21T09:30:36.060245+00:00,False,False,,896.7,943.7,1.78,BELT-A42,21.05
WO-APEX-2602-1022,Apex Mechanical Services Ltd,2026-02-01,Reactive,P2,AHU-01,2254deb1-ceda-5fdc-8662-5e88a82a385f,2026-02-22T08:00:00+00:00,2026-02-22T10:23:34.185995+00:00,2026-02-23T02:34:32.544208+00:00,False,True,WO-APEX-2602-1015,600.61,651.45,16.18,SEAL-KIT-PUMP,20.18
WO-APEX-2602-1023,Apex Mechanical Services Ltd,2026-02-01,Reactive,P3,AHU-02,9082654d-d28b-5d44-8b6e-44a75f9f53ca,2026-02-23T09:00:00+00:00,2026-02-24T18:36:00+00:00,2026-02-25T11:13:16.549796+00:00,True,False,,266.32,250.1,16.62,FILTER-HEPA-20,31.92
WO-APEX-2602-1024,Apex Mechanical Services Ltd,2026-02-01,Reactive,P4,CHILLER-01,4e25ee9b-426a-5909-8968-db80ba6ee435,2026-02-24T10:00:00+00:00,2026-02-26T04:18:07.903926+00:00,2026-03-02T11:42:55.172339+00:00,True,False,,351.85,366.35,103.41,FILTER-HEPA-20,67.42
WO-APEX-2602-1025,Apex Mechanical Services Ltd,2026-02-01,Reactive,P1,BOILER-01,86e56c75-769b-5c12-ade3-52ebb40657dc,2026-02-25T11:00:00+00:00,2026-02-25T12:24:00+00:00,2026-02-25T13:43:33.554249+00:00,True,False,,544.24,693.49,1.33,CONTACTOR-25A,56.44
WO-APEX-2602-1026,Apex Mechanical Services Ltd,2026-02-01,Reactive,P2,PUMP-HW-01,c96ceff1-b9a9-5a89-a4f6-cbc599c0fc6d,2026-02-26T12:00:00+00:00,2026-02-26T14:23:42.286261+00:00,2026-02-27T01:13:48.740577+00:00,True,False,,560.84,568.19,10.84,BELT-A42,39.11
WO-APEX-2602-1027,Apex Mechanical Services Ltd,2026-02-01,Reactive,P3,FCU-301,00cca8c0-d38f-5cf7-bcd4-22497ed31c44,2026-02-27T13:00:00+00:00,2026-02-28T05:59:59.640823+00:00,2026-02-28T23:23:46.049107+00:00,True,False,,426.87,463.03,17.4,FILTER-HEPA-20,36.63
WO-APEX-2602-1028,Apex Mechanical Services Ltd,2026-02-01,Reactive,P4,FCU-302,df5a27e5-a1b5-5620-b88c-e1fb6174c980,2026-02-28T14:00:00+00:00,2026-03-04T18:48:00+00:00,2026-03-04T19:48:00+00:00,False,True,WO-APEX-2602-1021,735.21,693.21,1.0,BREAKER-32A,43.37
WO-BRIG-2602-1029,BrightSpark Electrical Ltd,2026-02-01,Reactive,P1,DB-MAIN,50e801c0-1ad5-504f-95d7-d8e74b34b567,2026-02-01T07:00:00+00:00,2026-02-01T07:20:28.982843+00:00,2026-02-01T12:24:00+00:00,False,False,,830.83,897.55,5.06,LAMP-LED-4FT,37.3
WO-BRIG-2602-1030,BrightSpark Electrical Ltd,2026-02-01,Reactive,P2,DB-FLOOR3,79ece533-a40c-5da9-b9b8-90ff4936aa1d,2026-02-02T08:00:00+00:00,2026-02-02T13:36:00+00:00,2026-02-03T04:23:16.000314+00:00,False,False,,799.71,744.06,14.79,CONTACTOR-25A,24.2
WO-BRIG-2602-1031,BrightSpark Electrical Ltd,2026-02-01,Reactive,P3,LIGHT-CORE,3ba07b83-7e04-5835-bc79-d56876b0b151,2026-02-03T09:00:00+00:00,2026-02-03T21:33:51.053565+00:00,2026-02-05T12:08:37.731716+00:00,True,False,,849.51,946.6,38.58,FILTER-HEPA-20,25.62
WO-BRIG-2602-1032,BrightSpark Electrical Ltd,2026-02-01,Reactive,P4,UPS-IT,ae943b54-af87-5938-a8be-684dfa2dd4ab,2026-02-04T10:00:00+00:00,2026-02-08T14:48:00+00:00,2026-02-09T22:55:13.676435+00:00,True,False,,662.33,622.3,32.12,FILTER-HEPA-20,25.0
WO-BRIG-2602-1033,BrightSpark Electrical Ltd,2026-02-01,Reactive,P1,PANEL-FIRE,effe74d6-6e74-576e-96ca-b31101bdc1f4,2026-02-05T11:00:00+00:00,2026-02-05T11:33:31.966242+00:00,2026-02-05T16:24:00+00:00,True,False,,841.29,906.01,4.84,BREAKER-32A,21.27
WO-BRIG-2602-1034,BrightSpark Electrical Ltd,2026-02-01,Reactive,P2,DOOR-AUTO-1,81e5b385-171e-5889-8c6a-77e4a2aeef49,2026-02-06T12:00:00+00:00,2026-02-06T17:36:00+00:00,2026-02-07T07:58:20.047096+00:00,False,False,,380.97,371.8,14.37,FILTER-HEPA-20,34.98
WO-BRIG-2602-1035,BrightSpark Electrical Ltd,2026-02-01,Reactive,P3,DB-MAIN,50e801c0-1ad5-504f-95d7-d8e74b34b567,2026-02-07T13:00:00+00:00,2026-02-08T22:36:00+00:00,2026-02-09T00:13:42.388976+00:00,True,False,,258.05,272.2,1.63,SEAL-KIT-PUMP,67.01
WO-BRIG-2602-1036,BrightSpark Electrical Ltd,2026-02-01,Reactive,P4,DB-FLOOR3,79ece533-a40c-5da9-b9b8-90ff4936aa1d,2026-02-08T14:00:00+00:00,2026-02-12T18:48:00+00:00,2026-02-12T19:48:00+00:00,False,True,WO-BRIG-2602-1030,493.96,530.3,1.0,BREAKER-32A,46.86
WO-BRIG-2602-1037,BrightSpark Electrical Ltd,2026-02-01,Reactive,P1,LIGHT-CORE,3ba07b83-7e04-5835-bc79-d56876b0b151,2026-02-09T15:00:00+00:00,2026-02-09T15:32:13.968851+00:00,2026-02-09T18:29:51.896299+00:00,True,False,,657.64,935.83,2.96,LAMP-LED-4FT,34.75
WO-BRIG-2602-1038,BrightSpark Electrical Ltd,2026-02-01,Reactive,P2,UPS-IT,ae943b54-af87-5938-a8be-684dfa2dd4ab,2026-02-10T16:00:00+00:00,2026-02-10T18:25:10.946823+00:00,2026-02-11T03:54:07.492017+00:00,True,False,,718.66,958.45,9.48,FILTER-HEPA-20,19.96
WO-BRIG-2602-1039,BrightSpark Electrical Ltd,2026-02-01,Reactive,P3,PANEL-FIRE,effe74d6-6e74-576e-96ca-b31101bdc1f4,2026-02-11T07:00:00+00:00,2026-02-12T00:34:19.259482+00:00,2026-02-13T09:38:23.339534+00:00,True,False,,666.45,713.43,33.07,FILTER-HEPA-20,39.94
WO-BRIG-2602-1040,BrightSpark Electrical Ltd,2026-02-01,Reactive,P4,DOOR-AUTO-1,81e5b385-171e-5889-8c6a-77e4a2aeef49,2026-02-12T08:00:00+00:00,2026-02-14T06:07:21.820412+00:00,2026-02-15T11:02:40.289303+00:00,True,False,,403.5,369.35,28.92,LAMP-LED-4FT,47.21
WO-BRIG-2602-1041,BrightSpark Electrical Ltd,2026-02-01,Reactive,P1,DB-MAIN,50e801c0-1ad5-504f-95d7-d8e74b34b567,2026-02-13T09:00:00+00:00,2026-02-13T09:33:01.724013+00:00,2026-02-13T12:22:20.185745+00:00,True,False,,456.46,417.85,2.82,FILTER-HEPA-20,37.87
WO-BRIG-2602-1042,BrightSpark Electrical Ltd,2026-02-01,Reactive,P2,DB-FLOOR3,79ece533-a40c-5da9-b9b8-90ff4936aa1d,2026-02-14T10:00:00+00:00,2026-02-14T12:58:08.550061+00:00,2026-02-15T03:57:03.388741+00:00,True,False,,840.58,1022.15,14.98,SEAL-KIT-PUMP,20.63
WO-BRIG-2602-1043,BrightSpark Electrical Ltd,2026-02-01,Reactive,P3,LIGHT-CORE,3ba07b83-7e04-5835-bc79-d56876b0b151,2026-02-15T11:00:00+00:00,2026-02-16T05:58:00.559995+00:00,2026-02-17T13:51:19.741030+00:00,True,False,,778.01,852.18,31.89,LAMP-LED-4FT,48.65
WO-BRIG-2602-1044,BrightSpark Electrical Ltd,2026-02-01,Reactive,P4,UPS-IT,ae943b54-af87-5938-a8be-684dfa2dd4ab,2026-02-16T12:00:00+00:00,2026-02-18T10:51:05.014427+00:00,2026-02-21T23:31:42.058131+00:00,True,False,,377.71,474.84,84.68,SEAL-KIT-PUMP,65.05
WO-BRIG-2602-1045,BrightSpark Electrical Ltd,2026-02-01,Reactive,P1,PANEL-FIRE,effe74d6-6e74-576e-96ca-b31101bdc1f4,2026-02-17T13:00:00+00:00,2026-02-17T14:24:00+00:00,2026-02-17T18:24:00+00:00,True,False,,334.05,320.49,4.0,BELT-A42,19.21
WO-BRIG-2602-1046,BrightSpark Electrical Ltd,2026-02-01,Reactive,P2,DOOR-AUTO-1,81e5b385-171e-5889-8c6a-77e4a2aeef49,2026-02-18T14:00:00+00:00,2026-02-18T16:53:36.782517+00:00,2026-02-19T10:57:09.879851+00:00,False,True,WO-BRIG-2602-1040,814.07,809.57,18.06,LAMP-LED-4FT,64.32
WO-BRIG-2602-1047,BrightSpark Electrical Ltd,2026-02-01,Reactive,P3,DB-MAIN,50e801c0-1ad5-504f-95d7-d8e74b34b567,2026-02-19T15:00:00+00:00,2026-02-20T03:43:51.891351+00:00,2026-02-21T22:42:38.030700+00:00,True,False,,338.79,439.64,42.98,BREAKER-32A,49.31
WO-BRIG-2602-1048,BrightSpark Electrical Ltd,2026-02-01,Reactive,P4,DB-FLOOR3,79ece533-a40c-5da9-b9b8-90ff4936aa1d,2026-02-20T16:00:00+00:00,2026-02-21T20:08:08.776880+00:00,2026-02-25T02:27:38.781128+00:00,True,False,,199.42,202.5,78.33,LAMP-LED-4FT,44.87
WO-BRIG-2602-1049,BrightSpark Electrical Ltd,2026-02-01,Reactive,P1,LIGHT-CORE,3ba07b83-7e04-5835-bc79-d56876b0b151,2026-02-21T07:00:00+00:00,2026-02-21T08:24:00+00:00,2026-02-21T08:42:02.049361+00:00,True,False,,415.33,403.28,0.5,FILTER-HEPA-20,18.29
WO-BRIG-2602-1050,BrightSpark Electrical Ltd,2026-02-01,Reactive,P2,UPS-IT,ae943b54-af87-5938-a8be-684dfa2dd4ab,2026-02-22T08:00:00+00:00,2026-02-22T09:18:52.518017+00:00,2026-02-23T05:01:22.930711+00:00,True,False,,869.25,1033.0,19.71,FILTER-HEPA-20,21.12
WO-BRIG-2602-1051,BrightSpark Electrical Ltd,2026-02-01,Reactive,P3,PANEL-FIRE,effe74d6-6e74-576e-96ca-b31101bdc1f4,2026-02-23T09:00:00+00:00,2026-02-23T22:27:03.621616+00:00,2026-02-24T17:55:04.872216+00:00,True,False,,364.5,373.76,19.47,BELT-A42,46.85
WO-BRIG-2602-1052,BrightSpark Electrical Ltd,2026-02-01,Reactive,P4,DOOR-AUTO-1,81e5b385-171e-5889-8c6a-77e4a2aeef49,2026-02-24T10:00:00+00:00,2026-02-25T08:37:00.716339+00:00,2026-03-05T20:48:00+00:00,True,False,,869.88,914.77,204.18,BREAKER-32A,52.27
WO-BRIG-2602-1053,BrightSpark Electrical Ltd,2026-02-01,Reactive,P1,DB-MAIN,50e801c0-1ad5-504f-95d7-d8e74b34b567,2026-02-25T11:00:00+00:00,2026-02-25T11:27:57.133717+00:00,2026-02-25T13:58:06.665082+00:00,False,False,,587.47,777.72,2.5,SEAL-KIT-PUMP,42.47
WO-BRIG-2602-1054,BrightSpark Electrical Ltd,2026-02-01,Reactive,P2,DB-FLOOR3,79ece533-a40c-5da9-b9b8-90ff4936aa1d,2026-02-26T12:00:00+00:00,2026-02-26T14:07:26.865227+00:00,2026-02-27T20:24:00+00:00,True,False,,440.78,436.52,30.28,BREAKER-32A,22.67
WO-BRIG-2602-1055,BrightSpark Electrical Ltd,2026-02-01,Reactive,P3,LIGHT-CORE,3ba07b83-7e04-5835-bc79-d56876b0b151,2026-02-27T13:00:00+00:00,2026-02-28T04:19:48.155065+00:00,2026-03-02T02:54:22.448335+00:00,True,False,,774.53,741.5,46.58,FILTER-HEPA-20,25.28
WO-BRIG-2602-1056,BrightSpark Electrical Ltd,2026-02-01,Reactive,P4,UPS-IT,ae943b54-af87-5938-a8be-684dfa2dd4ab,2026-02-28T14:00:00+00:00,2026-03-02T17:19:07.898737+00:00,2026-03-05T09:04:02.532551+00:00,True,False,,535.9,534.3,63.75,CONTACTOR-25A,74.06
WO-SAFE-2602-1057,SafeLift Engineering Ltd,2026-02-01,Reactive,P1,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-01T07:00:00+00:00,2026-02-01T08:24:00+00:00,2026-02-01T10:21:36.772886+00:00,True,False,,551.97,687.29,1.96,BELT-A42,19.62
WO-SAFE-2602-1058,SafeLift Engineering Ltd,2026-02-01,Reactive,P2,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-02T08:00:00+00:00,2026-02-02T10:16:47.304974+00:00,2026-02-03T03:06:54.699903+00:00,True,False,,339.55,323.76,16.84,SEAL-KIT-PUMP,35.37
WO-SAFE-2602-1059,SafeLift Engineering Ltd,2026-02-01,Reactive,P3,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-03T09:00:00+00:00,2026-02-04T02:02:46.851953+00:00,2026-02-05T01:42:30.552117+00:00,True,False,,361.01,444.76,23.66,BREAKER-32A,54.46
WO-SAFE-2602-1060,SafeLift Engineering Ltd,2026-02-01,Reactive,P4,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-04T10:00:00+00:00,2026-02-08T14:48:00+00:00,2026-02-13T20:48:00+00:00,False,False,,883.16,837.16,126.0,CONTACTOR-25A,55.76
WO-SAFE-2602-1061,SafeLift Engineering Ltd,2026-02-01,Reactive,P1,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-05T11:00:00+00:00,2026-02-05T12:24:00+00:00,2026-02-05T16:24:00+00:00,False,True,WO-SAFE-2602-1059,564.58,814.72,4.0,BELT-A42,34.57
WO-SAFE-2602-1062,SafeLift Engineering Ltd,2026-02-01,Reactive,P2,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-06T12:00:00+00:00,2026-02-06T13:25:32.494163+00:00,2026-02-06T21:44:49.865426+00:00,True,False,,524.67,755.88,8.32,LAMP-LED-4FT,76.85
WO-SAFE-2602-1063,SafeLift Engineering Ltd,2026-02-01,Reactive,P3,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-07T13:00:00+00:00,2026-02-08T22:36:00+00:00,2026-02-11T14:12:00+00:00,True,False,,674.24,943.27,63.6,BELT-A42,60.16
WO-SAFE-2602-1064,SafeLift Engineering Ltd,2026-02-01,Reactive,P4,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-08T14:00:00+00:00,2026-02-12T18:48:00+00:00,2026-02-13T12:07:50.457736+00:00,True,False,,556.25,548.6,17.33,CONTACTOR-25A,41.9
WO-SAFE-2602-1065,SafeLift Engineering Ltd,2026-02-01,Reactive,P1,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-09T15:00:00+00:00,2026-02-09T15:49:41.015379+00:00,2026-02-09T20:24:00+00:00,True,False,,729.17,687.98,4.57,BELT-A42,45.94
WO-SAFE-2602-1066,SafeLift Engineering Ltd,2026-02-01,Reactive,P2,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-10T16:00:00+00:00,2026-02-10T18:05:55.459175+00:00,2026-02-12T00:24:00+00:00,False,False,,518.34,651.96,30.3,LAMP-LED-4FT,72.21
WO-SAFE-2602-1067,SafeLift Engineering Ltd,2026-02-01,Reactive,P3,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-11T07:00:00+00:00,2026-02-12T16:36:00+00:00,2026-02-15T08:12:00+00:00,False,False,,604.65,560.8,63.6,BREAKER-32A,51.57
WO-SAFE-2602-1068,SafeLift Engineering Ltd,2026-02-01,Reactive,P4,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-12T08:00:00+00:00,2026-02-16T12:48:00+00:00,2026-02-21T18:48:00+00:00,False,True,WO-SAFE-2602-1066,222.94,228.03,126.0,LAMP-LED-4FT,41.17
WO-SAFE-2602-1069,SafeLift Engineering Ltd,2026-02-01,Reactive,P1,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-13T09:00:00+00:00,2026-02-13T10:24:00+00:00,2026-02-13T11:59:58.082532+00:00,False,False,,540.34,485.93,1.6,BREAKER-32A,56.59
WO-SAFE-2602-1070,SafeLift Engineering Ltd,2026-02-01,Reactive,P2,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-14T10:00:00+00:00,2026-02-14T11:24:03.308942+00:00,2026-02-15T18:24:00+00:00,False,False,,781.89,866.48,31.0,SEAL-KIT-PUMP,48.15
WO-SAFE-2602-1071,SafeLift Engineering Ltd,2026-02-01,Reactive,P3,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-15T11:00:00+00:00,2026-02-16T20:36:00+00:00,2026-02-17T08:44:16.906693+00:00,False,False,,310.67,320.72,12.14,LAMP-LED-4FT,22.33
WO-SAFE-2602-1072,SafeLift Engineering Ltd,2026-02-01,Reactive,P4,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-16T12:00:00+00:00,2026-02-18T12:08:14.233117+00:00,2026-02-22T07:14:58.487747+00:00,False,False,,387.52,416.68,91.11,FILTER-HEPA-20,31.89
WO-SAFE-2602-1073,SafeLift Engineering Ltd,2026-02-01,Reactive,P1,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-17T13:00:00+00:00,2026-02-17T13:50:00.965759+00:00,2026-02-17T15:24:30.060410+00:00,False,False,,653.52,639.91,1.57,SEAL-KIT-PUMP,23.22
WO-SAFE-2602-1074,SafeLift Engineering Ltd,2026-02-01,Reactive,P2,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-18T14:00:00+00:00,2026-02-18T16:52:19.125046+00:00,2026-02-19T02:02:33.715897+00:00,True,False,,847.92,888.26,9.17,BREAKER-32A,44.07
WO-SAFE-2602-1075,SafeLift Engineering Ltd,2026-02-01,Reactive,P3,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-19T15:00:00+00:00,2026-02-20T00:17:26.130344+00:00,2026-02-23T16:12:00+00:00,True,False,,247.11,271.6,87.91,BREAKER-32A,22.2
WO-SAFE-2602-1076,SafeLift Engineering Ltd,2026-02-01,Reactive,P4,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-20T16:00:00+00:00,2026-02-22T17:58:38.970153+00:00,2026-02-25T05:56:42.897357+00:00,False,False,,885.78,1177.06,59.97,SEAL-KIT-PUMP,17.95
WO-SAFE-2602-1077,SafeLift Engineering Ltd,2026-02-01,Reactive,P1,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-21T07:00:00+00:00,2026-02-21T07:46:30.773330+00:00,2026-02-21T09:09:08.981300+00:00,False,False,,478.76,479.65,1.38,CONTACTOR-25A,47.77
WO-SAFE-2602-1078,SafeLift Engineering Ltd,2026-02-01,Reactive,P2,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-22T08:00:00+00:00,2026-02-22T10:39:06.730764+00:00,2026-02-23T03:58:59.257691+00:00,True,False,,528.73,732.81,17.33,CONTACTOR-25A,19.44
WO-SAFE-2602-1079,SafeLift Engineering Ltd,2026-02-01,Reactive,P3,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-23T09:00:00+00:00,2026-02-23T19:21:08.039459+00:00,2026-02-25T03:35:13.022021+00:00,True,False,,409.09,449.68,32.23,BREAKER-32A,19.05
WO-SAFE-2602-1080,SafeLift Engineering Ltd,2026-02-01,Reactive,P4,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-24T10:00:00+00:00,2026-02-25T13:37:24.134449+00:00,2026-03-02T14:14:42.910163+00:00,False,True,WO-SAFE-2602-1078,875.05,1056.27,120.62,LAMP-LED-4FT,17.44
WO-SAFE-2602-1081,SafeLift Engineering Ltd,2026-02-01,Reactive,P1,LIFT-A,57552a38-528d-582d-8d05-fb00e5254bf0,2026-02-25T11:00:00+00:00,2026-02-25T12:24:00+00:00,2026-02-25T16:24:00+00:00,False,False,,233.88,220.69,4.0,BREAKER-32A,38.77
WO-SAFE-2602-1082,SafeLift Engineering Ltd,2026-02-01,Reactive,P2,LIFT-B,6e9bab87-0df8-5148-9385-2c8f65780111,2026-02-26T12:00:00+00:00,2026-02-26T17:36:00+00:00,2026-02-27T05:41:32.243791+00:00,True,False,,866.98,947.6,12.09,FILTER-HEPA-20,21.78
